mode,seed,n_cal,n_test,test_accuracy,hpre_layer,hpre_sign,hpre_cal_auc,logit_layer,logit_sign,logit_cal_auc,hnorm_layer,hnorm_sign,hnorm_cal_auc,logit_base_auroc,logit_plus_hpre_auroc,logit_delta,full_base_auroc,full_plus_hpre_auroc,full_delta
dynamic_cal_selected_layers,22,700,300,0.6266666666666667,0,-1,0.6967463496801334,13,1,0.728999205788146,13,1,0.7082100559439339,0.7108662613981763,0.7164228723404256,0.0055566109422492405,0.7145706686930091,0.7216470364741642,0.007076367781155057
fixed_seed42_layers,22,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.7108662613981763,0.7198898176291793,0.009023556231002927,0.7145706686930091,0.7342325227963525,0.019661854103343424
dynamic_cal_selected_layers,23,700,300,0.6266666666666667,0,-1,0.6775587149477653,13,1,0.7148604892694124,13,1,0.692692378184484,0.7459631458966565,0.750474924012158,0.004511778115501519,0.7508548632218845,0.7548917173252279,0.0040368541033433125
fixed_seed42_layers,23,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.7459631458966565,0.7487651975683891,0.0028020516717326416,0.7508548632218845,0.7533719604863222,0.0025170972644376066
dynamic_cal_selected_layers,24,700,300,0.6266666666666667,0,-1,0.6870892571937266,13,1,0.7289817505825674,13,1,0.7004861274753664,0.7095839665653495,0.7056420972644377,-0.003941869300911782,0.7002754559270516,0.7088715805471125,0.008596124620060874
fixed_seed42_layers,24,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.7095839665653495,0.7030775075987843,-0.0065064589665652095,0.7002754559270516,0.7144281914893618,0.014152735562310115
dynamic_cal_selected_layers,25,700,300,0.6266666666666667,0,-1,0.6968379895094214,13,1,0.72536852302778,13,1,0.7112559893174143,0.7218844984802433,0.727298632218845,0.0054141337386017785,0.7168503039513678,0.7210771276595744,0.004226823708206595
fixed_seed42_layers,25,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.7218844984802433,0.7285809270516718,0.006696428571428492,0.7168503039513678,0.7292933130699089,0.012443009118541015
dynamic_cal_selected_layers,26,700,300,0.6266666666666667,0,-1,0.6993428115099626,14,1,0.7457736583492613,13,1,0.7164489129770726,0.6723024316109422,0.6716850303951368,-0.0006174012158053355,0.6764342705167173,0.6795687689969605,0.003134498480243164
fixed_seed42_layers,26,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.6710201367781155,0.677479103343465,0.0064589665653495,0.6754369300911853,0.6890672492401216,0.01363031914893631
dynamic_cal_selected_layers,27,700,300,0.6266666666666667,0,-1,0.6856884769460373,13,1,0.7176533221620017,13,1,0.7004250342558409,0.7368920972644377,0.7379844224924013,0.001092325227963542,0.7310030395136778,0.7365121580547113,0.00550911854103342
fixed_seed42_layers,27,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.7368920972644377,0.737082066869301,0.00018996960486328263,0.7310030395136778,0.733662613981763,0.0026595744680851796
dynamic_cal_selected_layers,28,700,300,0.6266666666666667,30,-1,0.6815385018197052,13,1,0.7421517031916844,13,1,0.7004337618586304,0.6788088905775076,0.665795972644377,-0.013012917933130641,0.6674107142857142,0.6824183130699087,0.015007598784194554
fixed_seed42_layers,28,700,300,0.6266666666666667,30,-1,,13,1,,13,1,,0.6788088905775076,0.665795972644377,-0.013012917933130641,0.6674107142857142,0.6824183130699087,0.015007598784194554
dynamic_cal_selected_layers,29,700,300,0.6266666666666667,0,-1,0.685732114959984,13,1,0.7196781260091291,13,1,0.703950985782735,0.7328077507598784,0.7353723404255318,0.0025645896656534273,0.7273936170212766,0.7320003799392096,0.004606762917933049
